Hour,Starting minute (inclussive),Ending minute (exclussive),Generated power,TemperatureC,DewpointC,PressurehPa,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2
0,0,5,0,0,0,0,0,0,0,0,0,0,0
0,5,10,0,0,0,0,0,0,0,0,0,0,0
0,10,15,0,8,4,1030,134,6,6,76,0,0,0
0,15,20,0,8,4,1030,137,4,8,76,0,0,0
0,20,25,0,8,4,1030,137,1,8,76,0,0,0
0,25,30,0,8,4,1030,137,4,4,76,0,0,0
0,30,35,0,8,4,1030,137,4,6,76,0,0,0
0,35,40,0,8,4,1030,137,3,6,78,0,0,0
0,40,45,0,8,4,1030,137,4,6,78,0,0,0
0,45,50,0,8,4,1030,132,4,6,78,0,0,0
0,50,55,0,8,4,1030,132,4,6,79,0,0,0
0,55,60,0,8,5,1030,132,3,6,79,0,0,0
1,0,5,0,8,4,1030,111,1,8,78,0,0,0
1,5,10,0,8,4,1030,110,3,9,78,0,0,0
1,10,15,0,8,4,1030,107,1,6,78,0,0,0
1,15,20,0,8,4,1030,107,3,9,78,0,0,0
1,20,25,0,7,4,1030,107,1,4,78,0,0,0
1,25,30,0,7,4,1030,108,3,4,79,0,0,0
1,30,35,0,7,4,1030,148,4,4,79,0,0,0
1,35,40,0,7,4,1030,138,4,8,80,0,0,0
1,40,45,0,7,4,1030,134,3,8,80,0,0,0
1,45,50,0,7,4,1030,144,4,8,80,0,0,0
1,50,55,0,7,4,1030,139,4,8,81,0,0,0
1,55,60,0,7,4,1030,138,1,8,81,0,0,0
2,0,5,0,7,4,1030,146,4,6,81,0,0,0
2,5,10,0,7,4,1030,148,8,14,81,0,0,0
2,10,15,0,7,4,1030,157,4,14,81,0,0,0
2,15,20,0,7,4,1030,138,1,14,81,0,0,0
2,20,25,0,7,4,1030,138,3,12,81,0,0,0
2,25,30,0,7,3,1030,114,6,8,81,0,0,0
2,30,35,0,6,3,1030,131,3,8,82,0,0,0
2,35,40,0,6,3,1031,139,4,11,82,0,0,0
2,40,45,0,6,3,1031,130,6,12,82,0,0,0
2,45,50,0,6,3,1031,117,3,8,82,0,0,0
2,50,55,0,6,3,1030,112,4,8,82,0,0,0
2,55,60,0,6,3,1031,121,4,6,83,0,0,0
3,0,5,0,6,3,1031,121,4,8,83,0,0,0
3,5,10,0,6,3,1031,132,4,6,82,0,0,0
3,10,15,0,6,3,1030,117,4,11,82,0,0,0
3,15,20,0,6,3,1030,125,1,6,82,0,0,0
3,20,25,0,6,3,1030,124,4,6,82,0,0,0
3,25,30,0,6,3,1030,126,4,6,82,0,0,0
3,30,35,0,6,3,1030,106,6,8,82,0,0,0
3,35,40,0,6,3,1030,105,3,6,81,0,0,0
3,40,45,0,6,3,1030,117,3,6,81,0,0,0
3,45,50,0,6,3,1030,110,4,11,81,0,0,0
3,50,55,0,6,3,1030,108,3,6,81,0,0,0
3,55,60,0,6,3,1030,113,4,6,81,0,0,0
4,0,5,0,6,3,1030,111,3,6,81,0,0,0
4,5,10,0,6,3,1030,104,3,4,81,0,0,0
4,10,15,0,6,3,1030,103,3,6,82,0,0,0
4,15,20,0,6,3,1030,98,4,6,82,0,0,0
4,20,25,0,6,3,1030,113,6,6,82,0,0,0
4,25,30,0,6,3,1030,120,3,11,82,0,0,0
4,30,35,0,6,3,1030,115,4,12,82,0,0,0
4,35,40,0,6,3,1030,117,3,6,82,0,0,0
4,40,45,0,6,3,1030,113,4,8,82,0,0,0
4,45,50,0,6,3,1030,110,6,6,82,0,0,0
4,50,55,0,6,3,1030,113,4,6,82,0,0,0
4,55,60,0,6,3,1030,113,4,9,82,0,0,0
5,0,5,0,6,3,1030,123,6,6,82,0,0,0
5,5,10,0,6,3,1030,112,3,11,82,0,0,0
5,10,15,0,6,3,1030,111,4,6,82,0,0,0
5,15,20,0,6,3,1030,114,4,6,82,0,0,0
5,20,25,0,6,3,1030,112,3,6,82,0,0,0
5,25,30,0,6,3,1030,111,4,9,82,0,0,0
5,30,35,0,6,3,1030,92,9,11,82,0,0,0
5,35,40,0,5,3,1030,108,4,11,82,0,0,0
5,40,45,0,5,3,1030,105,4,9,83,0,0,0
5,45,50,0,5,3,1030,118,3,11,83,0,0,0
5,50,55,0,5,3,1030,103,4,9,83,0,0,0
5,55,60,0,5,3,1030,108,3,9,83,0,0,0
6,0,5,0,5,3,1030,98,6,9,83,0,0,0
6,5,10,0,5,3,1030,110,4,11,83,0,0,0
6,10,15,0,5,3,1030,107,4,11,83,0,0,0
6,15,20,0,5,2,1030,106,3,11,83,0,0,0
6,20,25,0,5,2,1031,113,4,6,83,0,0,0
6,25,30,0,5,2,1031,115,3,6,83,0,0,0
6,30,35,0,5,2,1031,110,1,6,84,0,0,0
6,35,40,0,5,2,1031,116,6,9,84,0,0,0
6,40,45,0,5,2,1031,102,6,6,84,0,0,0
6,45,50,0,5,2,1031,128,3,6,84,0,0,0
6,50,55,0,5,2,1031,123,6,9,84,0,0,0
6,55,60,0,5,2,1031,116,3,9,84,0,0,0
7,0,5,0,5,3,1031,132,3,11,84,0,0,0
7,5,10,0,5,3,1031,142,6,11,84,0,0,0
7,10,15,0,5,2,1031,117,4,12,83,0,0,0
7,15,20,0,5,2,1031,113,4,9,84,0,0,0
7,20,25,0,5,2,1031,103,4,9,84,0,0,0
7,25,30,0,5,2,1031,103,4,9,84,0,0,0
7,30,35,0,5,2,1031,101,6,8,84,0,0,0
7,35,40,0,5,2,1031,130,6,9,84,0,0,0
7,40,45,0,5,2,1031,124,3,9,84,0,0,0
7,45,50,0,5,2,1031,119,8,12,84,0,0,0
7,50,55,0,5,2,1031,148,6,11,84,0,0,0
7,55,60,0,5,2,1031,109,3,9,85,0,0,0
8,0,5,0,5,2,1031,143,6,11,85,0,0,5
8,5,10,0,5,2,1031,109,3,9,85,0,0,7
8,10,15,0,5,2,1031,127,4,11,84,0,0,9
8,15,20,0,5,2,1031,112,3,8,85,0,0,12
8,20,25,0,5,2,1032,117,3,8,85,0,0,14
8,25,30,0,5,2,1032,108,4,6,85,0,0,18
8,30,35,0,5,2,1032,112,4,11,84,0,0,25
8,35,40,0,5,3,1032,121,6,6,84,0,0,32
8,40,45,0,5,3,1032,86,8,9,84,0,0,40
8,45,50,0,5,3,1032,111,4,12,83,0,0,49
8,50,55,0,5,3,1032,115,6,11,83,0,0,62
8,55,60,0,6,3,1032,102,4,12,83,0,0,74
9,0,5,0,6,3,1032,99,4,11,82,0,0,84
9,5,10,0,6,3,1032,128,4,9,82,0,0,98
9,10,15,0,6,3,1032,108,3,6,81,0,0,113
9,15,20,0,6,3,1032,119,1,9,81,0,0,127
9,20,25,0,7,3,1032,148,3,6,80,0,0,142
9,25,30,0,7,3,1032,132,1,8,79,0,0,156
9,30,35,0,7,3,1032,113,4,6,78,0,0,169
9,35,40,0,7,3,1032,119,1,8,77,0,0,183
9,40,45,0,7,3,1032,114,1,6,77,0,0,197
9,45,50,0,8,3,1033,168,1,6,76,0,0,209
9,50,55,0,8,4,1033,97,4,6,76,0,0,220
9,55,60,0,8,3,1033,103,0,9,75,0,0,230
10,0,5,0,8,3,1032,86,6,9,74,0,0,241
10,5,10,0,8,4,1032,101,3,6,75,0,0,253
10,10,15,0,8,4,1032,124,6,6,74,0,0,262
10,15,20,0,8,4,1033,134,4,8,74,0,0,272
10,20,25,0,8,4,1033,97,6,11,73,0,0,281
10,25,30,0,9,4,1032,113,6,11,72,0,0,292
10,30,35,0,9,4,1033,135,1,9,73,0,0,302
10,35,40,0,9,4,1033,157,3,9,72,0,0,311
10,40,45,0,9,4,1033,134,4,6,71,0,0,316
10,45,50,0,9,5,1033,126,1,9,72,0,0,323
10,50,55,0,9,5,1033,105,1,6,71,0,0,330
10,55,60,0,10,5,1032,85,3,8,71,0,0,338
11,0,5,0,10,5,1032,105,3,6,70,0,0,343
11,5,10,0,10,5,1032,72,4,6,69,0,0,350
11,10,15,0,10,5,1032,89,3,6,69,0,0,357
11,15,20,0,11,5,1032,162,3,6,67,0,0,364
11,20,25,0,11,5,1032,119,1,6,67,0,0,369
11,25,30,0,11,5,1032,153,4,4,66,0,0,376
11,30,35,0,11,5,1032,150,1,8,65,0,0,381
11,35,40,0,11,5,1032,150,1,6,65,0,0,390
11,40,45,0,12,5,1032,148,1,3,65,0,0,399
