Hour,Starting minute (inclussive),Ending minute (exclussive),Generated power,TemperatureC,DewpointC,PressurehPa,WindDirectionDegrees,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2
0,0,5,0,10,6.5,1018,330,0.5,1.5,81,0,15.5,0
0,5,10,0,0,0,0,0,0,0,0,0,0,0
0,10,15,0,9.5,6.5,1018,327.5,1.5,3,80.5,0,0,0
0,15,20,0,9.5,6.5,1018,161.5,1.5,4,81,0,0,0
0,20,25,0,9.5,6.5,1018,161.5,0,2,81.5,0,0,0
0,25,30,0,9.5,6.5,1018,168.5,0.5,3,81.5,0,0,0
0,30,35,0,9.5,6.5,1018,159.5,2,3,81.5,0,0,0
0,35,40,0,9.5,6.5,1018,165.5,3,3,82,0,0,0
0,40,45,0,9.5,6.5,1018,327,2,4,82,0,0,0
0,45,50,0,9.5,6.5,1018,326.5,0.5,4,82.5,0,0,0
0,50,55,0,9.5,6.5,1018,322,0,2,82.5,0,0,0
0,55,60,0,9.5,6.5,1018,324,0.5,2,83,0,0,0
1,0,5,0,9.5,6.5,1018,330,1.5,1.5,83,0,0,0
1,5,10,0,9.5,6.5,1018,334.5,1.5,2,83,0,0,0
1,10,15,0,9.5,6.5,1018,329,2,3,83,0,0,0
1,15,20,0,9.5,6.5,1018,329,0.5,2,83,0,0,0
1,20,25,0,9.5,6.5,1018.5,329,0.5,1.5,83.5,0,0,0
1,25,30,0,9.5,6.5,1018.5,329,0.5,1.5,83.5,0,0,0
1,30,35,0,8.5,6.5,1018.5,329,0.5,0.5,84,0,0,0
1,35,40,0,8.5,6.5,1018.5,331,2,2,84,0,0,0
1,40,45,0,9,6.5,1018.5,331,0.5,4.5,84,0,0,0
1,45,50,0,9,6.5,1018.5,323,0.5,3,84,0,0,0
1,50,55,0,8.5,6.5,1018.5,317.5,0,2,84,0,0,0
1,55,60,0,8.5,6.5,1018.5,334.5,0.5,3,84.5,0,0,0
2,0,5,0,8.5,6.5,1018.5,172,3,3,84.5,0,0,0
2,5,10,0,8.5,6.5,1018.5,159.5,0.5,3,84.5,0,0,0
2,10,15,0,8.5,6.5,1018.5,162,0.5,3,84.5,0,0,0
2,15,20,0,9,6.5,1018.5,330.5,4,4,84.5,0,0,0
2,20,25,0,9,6.5,1018.5,160,3,4.5,84.5,0,0,0
2,25,30,0,9,6.5,1018.5,327.5,2,4,84.5,0,0,0
2,30,35,0,9,6.5,1018.5,330.5,2,3,84.5,0,0,0
2,35,40,0,9,6.5,1018.5,333,1.5,4,84.5,0,0,0
2,40,45,0,9,6.5,1018.5,335,0.5,3,85,0,0,0
2,45,50,0,9,6.5,1018,335.5,1.5,2,84.5,0,0,0
2,50,55,0,9,6.5,1018,326.5,0.5,2.5,84.5,0,0,0
2,55,60,0,9,6.5,1018,331,2,3,84,0,0,0
3,0,5,0,9,6.5,1018,170.5,0.5,3,84,0,0,0
3,5,10,0,9,6.5,1018,199.5,2,2,84,0,0,0
3,10,15,0,8.5,6,1018,202,1.5,2,84,0,0,0
3,15,20,0,8.5,6,1018,203,0.5,3,84,0,0,0
3,20,25,0,8.5,6.5,1018,203,0.5,2,84.5,0,0,0
3,25,30,0,8.5,6.5,1018,206.5,2,2,84.5,0,0,0
